prog_id,session_id,Edit event less than 5 changes,Solution add project,Window event move,Version control event,Debugger exception not handles,System event remote disconnect,Solution remove project,Document saved,IDE state shutdown,Document opened,Edit event 5 to 9 changes,Navigation event keyboard,Build event build,Test run event,System event lock,Completion Event,Debugger design,Edit event 10 or more changes,Debugger run,Solution close solution,Solution rename project,Find complete,Window event activate,Build event rebuild all,System event resume,Solution add project item,Document close,Build event clean,Activity Event,System event remote connect,System event unlock,Debugger break,Find cancelled,Solution add solution item,Window event deactivate,Solution open solution,Solution remove solution item,System event suspend,Window event close,Debugger exception thrown,Navigation event ctrl click,Solution rename project item,Window event create,Solution rename solution,Build event unknown,Comand event,Navigation event click,IDE state startup
1,8ed1932b-0599-4aff-8139-3da19197f106,219,12,194,3,0,2,0,249,1,120,158,358,0,0,0,341,0,109,0,1,0,6,429,0,0,2,159,0,407,2,0,0,0,0,8,1,0,0,148,0,23,0,120,0,0,2886,277,1
1,5a4bf66f-46da-4d8d-be83-3e4c01d44e54,791,0,316,8,0,1,0,491,0,165,659,839,0,52,0,832,2,206,6,0,0,0,797,0,0,0,179,0,834,1,0,6,0,0,55,1,0,0,174,0,51,0,165,0,0,10857,492,1
1,946d967e-da5f-43e8-afae-a1bb0bcacf8e,465,0,370,7,0,2,0,234,1,40,2110,426,0,43,0,437,27,195,271,2,0,0,640,0,0,0,118,0,797,2,0,265,0,0,116,3,0,0,107,0,19,0,40,0,0,5536,242,1
1,4105aeae-bea6-4dff-a739-bbc638375ab4,37,0,73,8,0,0,0,15,1,19,23,16,0,7,0,16,1,2,1,5,0,0,238,0,0,0,146,0,165,0,0,0,0,0,23,5,0,0,192,0,3,0,79,0,0,680,20,1
1,3fdb64d9-5b00-4e75-9a03-f427f1137aaa,53,0,98,7,0,3,0,28,1,25,31,58,3,4,0,33,4,7,10,8,0,0,223,0,0,0,84,0,211,3,0,10,0,0,14,8,0,0,81,0,9,0,25,0,0,1232,25,1
1,d14cc78b-2984-42be-a884-1a6c9bf931bf,419,0,228,12,0,0,0,430,1,79,381,820,0,52,0,536,9,141,28,2,0,1,548,0,0,0,131,0,695,0,0,25,0,0,58,2,0,0,121,0,21,0,79,0,0,6615,512,1
1,5447d9d8-596b-46a5-bd5d-fa1913821620,162,0,72,3,0,1,0,113,0,20,118,274,0,20,0,282,9,45,29,1,0,0,174,0,0,0,36,0,299,0,0,27,0,0,43,2,0,0,30,0,8,0,20,0,0,2365,123,1
1,a50396b7-4311-4252-a025-3740ca1d2ce0,193,0,118,6,0,0,0,122,1,17,115,148,0,17,0,191,10,45,94,4,0,0,237,0,0,0,116,0,332,0,0,91,0,0,81,4,0,0,95,0,10,0,17,0,0,2661,89,1
1,d63c0fdb-5116-4da5-a0f2-c9d4c4626563,169,0,143,12,0,3,0,127,0,56,150,369,0,19,0,206,3,71,9,5,0,0,378,0,0,0,355,0,404,3,0,8,0,0,68,5,0,0,217,0,8,0,56,0,0,2608,135,1
1,785a15e8-d6d3-442d-bfee-be030ab88515,38,7,24,3,0,0,2,28,1,16,30,86,0,4,0,95,0,8,0,3,0,0,76,0,0,1,21,0,80,0,0,0,0,0,4,3,0,0,20,0,2,0,16,0,0,563,25,1
1,1a4ab127-4c9c-4f68-8332-70a63c45ba35,58,0,47,5,0,0,0,58,1,34,73,170,0,8,0,186,1,28,2,7,0,0,126,0,0,0,77,0,163,0,0,2,0,0,6,5,0,0,76,0,18,0,34,0,0,1344,53,1
1,565dba72-d525-4864-9bf4-ac7b225de74a,35,1,12,0,0,1,0,23,1,6,19,58,0,6,0,56,0,14,0,1,0,0,63,0,0,2,6,0,81,1,0,0,0,0,8,1,0,0,6,0,3,0,6,0,0,419,22,1
1,0972e52b-51ab-4eef-86c3-3f1e4d0d31d4,25,0,54,3,0,0,0,24,1,16,28,72,0,11,0,42,1,6,1,1,0,0,94,0,0,0,26,0,94,0,0,1,0,0,3,1,0,0,26,0,11,0,16,0,0,409,28,1
