prog_id,session_id,Solution add project,Com refactorings,Window event move,Debugger exception not handles,System event remote disconnect,Com solution explorer,Com team,Com debug,Com unknown,Document saved,Com resources,IDE state shutdown,Com tree model browser,Test run event,Com type hierarchy,Completion Event,Edit event 10 or more changes,Debugger run,Solution close solution,Com help,Com window,Com tools,Com OBS,Com mercurial,Window event activate,Build event clean,Com supercharger,Com build,Com completion,System event unlock,Debugger break,Com close,Com architectureDesigner,Com KaVE,Com NCrunch,Window event close,Com bookmarks,Debugger exception thrown,Com code maid,Com generate,Com view,Window event create,Solution rename solution,Build event unknown,IDE state startup,Edit event less than 5 changes,Version control event,Com visual svn,Com architecture context menues,Solution remove project,Com choose language,Document opened,Edit event 5 to 9 changes,Navigation event keyboard,Build event build,Com project,System event lock,Debugger design,Com SQL,Com textcontrol,Com bulb action,Solution rename project,Com find usages,Find complete,Build event rebuild all,Com edit,System event resume,Solution add project item,Document close,Com NuGet,Com ViEmu,Com other context menues,Activity Event,Com continuous testing,Com save,System event remote connect,Com test explorer,Find cancelled,Solution add solution item,Window event deactivate,Solution open solution,Com file,Com unit test,Solution remove solution item,System event suspend,Com JetBrains,Navigation event ctrl click,Solution rename project item,Navigation event click,Com unit test session
1,8ed1932b-0599-4aff-8139-3da19197f106,12,2,194,0,2,0,0,0,370,249,0,1,0,0,0,341,109,0,1,0,4,0,0,0,429,0,0,48,216,0,0,0,1,0,0,148,0,0,0,0,0,120,0,0,1,219,3,0,0,0,0,120,158,358,0,24,0,0,0,449,0,0,4,6,0,1157,0,2,159,0,0,0,407,0,4,2,0,0,0,8,1,540,0,0,0,67,23,0,277,0
1,5a4bf66f-46da-4d8d-be83-3e4c01d44e54,0,0,316,0,1,0,0,26,1014,491,0,0,0,52,0,832,206,6,0,0,3,0,0,0,797,0,0,179,393,0,6,0,1,6,0,174,0,0,0,0,2,165,0,0,1,791,8,0,0,0,0,165,659,839,0,8,0,2,0,2466,0,0,0,0,0,5467,0,0,179,0,0,0,834,0,8,1,0,0,0,55,1,1190,51,0,0,41,51,0,492,2
1,946d967e-da5f-43e8-afae-a1bb0bcacf8e,0,0,370,0,2,0,0,960,570,234,0,1,0,43,0,437,195,271,2,0,5,2,0,0,640,0,0,75,236,0,265,0,1,2,0,107,0,0,0,0,0,40,0,0,1,465,7,0,0,0,0,40,2110,426,0,0,0,27,0,911,0,0,0,0,0,2114,0,0,118,0,0,0,797,0,8,2,0,0,0,116,3,577,27,0,0,14,19,0,242,34
1,4105aeae-bea6-4dff-a739-bbc638375ab4,0,0,73,0,0,0,0,4,72,15,0,1,0,7,0,16,2,1,5,0,0,8,126,0,238,0,0,69,11,0,0,0,1,6,0,192,0,0,0,0,54,79,0,0,1,37,8,0,0,0,0,19,23,16,0,4,0,1,0,40,0,0,0,0,0,141,0,0,146,5,0,0,165,0,4,0,0,0,0,23,5,109,9,0,0,8,3,0,20,9
1,3fdb64d9-5b00-4e75-9a03-f427f1137aaa,0,0,98,0,3,0,0,29,69,28,0,1,0,4,0,33,7,10,8,0,1,2,714,0,223,0,0,48,14,0,10,0,1,3,0,81,0,0,0,0,6,25,0,0,1,53,7,0,0,0,0,25,31,58,3,16,0,4,0,48,0,0,2,0,0,159,0,0,84,1,0,0,211,0,3,3,0,0,0,14,8,111,0,0,0,5,9,0,25,0
1,d14cc78b-2984-42be-a884-1a6c9bf931bf,0,0,228,0,0,0,0,120,507,430,0,1,0,52,0,536,141,28,2,0,2,0,0,0,548,0,0,131,276,0,25,0,1,3,0,121,0,0,0,0,0,79,0,0,1,419,12,0,0,0,0,79,381,820,0,4,0,9,0,1263,0,0,10,1,0,3137,0,0,131,0,0,0,695,0,14,0,0,0,0,58,2,1070,45,0,0,28,21,0,512,4
1,5447d9d8-596b-46a5-bd5d-fa1913821620,0,0,72,0,1,0,0,154,159,113,0,0,0,20,0,282,45,29,1,0,1,0,0,0,174,0,0,66,113,0,27,0,1,3,0,30,0,0,0,0,0,20,0,0,1,162,3,0,0,0,0,20,118,274,0,0,0,9,0,426,0,0,0,0,0,1096,0,0,36,0,0,0,299,0,6,0,0,0,0,43,2,320,16,0,0,4,8,0,123,0
1,a50396b7-4311-4252-a025-3740ca1d2ce0,0,0,118,0,0,0,0,421,271,122,0,1,0,17,0,191,45,94,4,0,1,0,0,0,237,0,0,72,110,0,91,0,1,3,0,95,0,0,0,0,0,17,0,0,1,193,6,0,0,0,0,17,115,148,0,0,0,10,0,397,0,0,0,0,0,996,0,0,116,0,0,0,332,0,2,0,0,0,0,81,4,361,18,0,0,7,10,0,89,1
1,d63c0fdb-5116-4da5-a0f2-c9d4c4626563,0,0,143,0,3,0,0,33,187,127,0,0,1,19,0,206,71,9,5,0,4,4,0,0,378,0,0,114,92,0,8,0,1,10,0,217,0,0,0,0,42,56,0,0,1,169,12,0,0,0,0,56,150,369,0,14,0,3,0,515,0,0,0,0,0,1145,0,0,355,6,0,0,404,0,8,3,0,0,0,68,5,389,18,0,0,23,8,0,135,2
1,1a4ab127-4c9c-4f68-8332-70a63c45ba35,0,0,47,0,0,0,0,9,142,58,0,1,0,8,0,186,28,2,7,0,3,2,0,0,126,0,0,21,79,0,2,0,1,2,0,76,0,0,0,0,1,34,0,0,1,58,5,0,0,0,0,34,73,170,0,4,0,1,0,258,0,0,1,0,0,635,0,0,77,2,0,0,163,0,3,0,0,0,0,6,5,161,7,0,0,10,18,0,53,3
1,310487e3-c297-4409-bf10-0fb03f36015e,36,0,406,0,5,0,0,52,906,775,0,0,1,85,0,1466,293,19,2,0,4,0,0,0,1078,0,0,131,701,0,17,0,1,7,0,254,0,0,0,0,0,189,0,0,1,1108,15,0,0,0,0,189,659,1848,0,16,0,6,0,2652,0,0,4,0,0,6049,0,9,256,0,0,0,1652,0,23,5,0,0,0,28,3,1786,78,0,0,83,57,0,621,10
1,20d14a0c-912b-4566-b07a-69940e673e91,12,0,536,0,4,0,0,208,620,565,0,1,0,180,0,1210,238,74,1,0,5,0,0,0,1019,0,0,255,507,0,73,0,1,3,0,297,0,0,0,0,0,143,0,0,1,783,12,0,0,0,0,143,528,1336,0,0,0,22,0,1490,0,0,1,0,0,4426,0,6,330,0,0,0,1180,0,19,4,0,0,0,69,1,1611,161,0,0,17,40,0,385,7
1,8ed6e4f0-387b-4568-bb63-ab2645f8b32d,12,5,504,0,2,0,0,0,435,400,0,1,0,0,0,88,67,0,2,0,2,0,0,0,969,0,0,0,63,0,0,0,1,1,0,279,0,0,0,0,4,261,0,0,1,175,4,0,0,0,0,261,99,277,0,0,0,0,0,290,0,0,0,0,0,779,0,3,279,0,0,0,602,0,1,2,0,0,0,15,2,817,0,0,0,51,16,0,353,0
1,95f04899-d86a-47ad-a1b3-3f5fd681f702,12,0,40,0,2,0,0,0,82,47,0,0,0,0,0,158,38,0,0,0,0,0,0,0,20,0,0,9,89,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,65,1,0,0,0,0,6,78,107,0,4,0,0,0,207,0,0,0,0,0,538,0,0,1,0,0,0,77,0,0,2,0,0,0,0,1,100,0,0,0,7,1,0,43,0
1,55b151b7-57bc-47cf-8660-5182d751c9a1,0,0,439,0,3,0,0,309,1457,862,0,1,0,62,0,1673,447,89,1,0,2,0,0,0,921,0,0,287,956,0,88,0,1,1,0,191,0,0,0,0,23,173,0,0,1,1259,14,0,0,0,0,144,1018,1703,0,8,0,6,0,3543,0,0,5,0,0,9677,0,0,166,0,0,0,1648,0,13,3,0,0,0,139,1,2095,58,0,0,56,71,0,774,5
1,f1494a09-8265-4fc4-9ad8-ff9fefb98aa0,0,8,490,0,1,0,0,380,1411,1081,0,0,0,53,0,1698,403,48,1,0,2,0,0,0,1442,0,0,219,943,0,46,0,1,4,0,253,0,0,0,0,0,212,0,0,1,1209,11,0,0,0,0,212,884,2051,0,70,0,13,0,2826,0,0,0,0,0,7425,0,0,278,0,0,0,2010,0,11,1,0,0,0,255,2,2485,55,0,0,161,73,0,1008,2
1,649c96ae-15e5-42d9-8c70-6a2fba263c45,0,0,327,0,2,0,0,212,525,333,0,0,0,90,0,613,171,61,0,0,1,0,0,0,693,0,0,113,320,0,57,0,1,0,0,91,0,0,0,0,0,74,0,0,1,502,16,0,0,0,0,74,385,714,0,8,0,13,0,1252,0,0,1,0,0,3114,0,0,93,0,0,0,911,0,7,2,0,0,0,128,1,883,83,0,0,18,22,0,445,13
1,aaa4a08e-432b-454f-a760-922ab22a29a4,52,4,411,0,5,0,0,0,1165,716,0,1,0,0,0,824,350,0,5,0,3,2,0,0,985,0,0,120,540,0,0,0,1,3,0,383,0,0,0,0,8,303,0,0,1,596,8,0,0,0,0,303,380,725,0,2,0,0,0,1256,0,0,3,4,0,3608,0,10,384,1,0,0,1192,0,10,5,0,0,0,22,5,1558,0,0,0,215,43,0,866,0
1,6cf093d9-ca3a-4edd-a731-145cf135d19f,13,0,68,0,2,0,0,57,92,58,0,0,0,3,0,120,18,16,0,0,0,0,0,0,93,0,0,41,60,0,15,0,1,3,0,21,0,0,0,0,0,17,0,0,1,86,11,0,0,1,0,17,45,106,0,0,0,2,0,214,0,0,1,0,0,555,0,4,36,0,0,0,163,0,0,2,0,0,0,0,1,155,2,0,0,7,8,0,48,0
1,771a127a-cd51-4bb2-8f1e-3e2296f7eef0,25,0,440,0,1,0,0,904,917,467,0,1,1,84,0,1026,261,292,3,0,8,0,0,0,983,0,0,105,433,0,288,0,1,6,0,214,1,0,0,0,0,108,0,0,1,742,11,0,0,0,0,108,900,1205,0,9,0,23,0,1565,0,0,4,1,0,4441,0,13,349,0,0,0,1337,0,11,1,0,0,0,48,3,1151,62,0,0,27,77,0,467,11
1,7d16a706-4d73-4569-92d4-8d3508b07eda,0,0,570,0,7,0,0,740,1933,1162,0,0,1,158,4,2537,524,210,3,0,1,4,0,0,1253,0,0,338,1386,0,202,0,1,5,0,146,0,0,0,0,2,114,0,0,1,1614,20,0,0,0,0,114,1560,2626,0,24,0,27,0,4244,0,0,1,0,0,11039,0,0,165,2,0,0,2119,0,12,7,0,0,0,214,4,2883,150,0,0,113,86,0,790,21
